Sorting Date,Date,From,To,Location,Repository,Publication,Link
09/01/1878,09/01/1878,Walt Whitman,Edward Carpenter,"Camden, NJ","Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1964), 3:135–136.",,https://whitmanarchive.org/biography/correspondence/tei/med.00630.html
06/14/1880,06/14/1880,Charles Warren Stoddard,Walt Whitman,San Francisco,"Charles Sixsmith Collection at the John Rylands Library, University of Manchester.",,https://whitmanarchive.org/biography/correspondence/tei/man.00033.html#r4
07/01/1880,07/01/1880,Edward Carpenter,Walt Whitman,"Sheffield, UK","Charles Sixsmith Collection at the John Rylands Library, University of Manchester.",,https://whitmanarchive.org/biography/correspondence/tei/man.00028.html
07/07/1880,07/07/1880,Charles Warren Stoddard,Walt Whitman,San Francisco,"Charles Sixsmith Collection at the John Rylands Library, University of Manchester.",,whitmanarchive.org/biography/correspondence/tei/man.00034.html
09/28/1880,09/28/1880,Walt Whitman,Edward Carpenter,Niagra Falls,"T. E. Hanley Collection, Harry Ransom Humanities Research Center, The University of Texas at Austin.","Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1961–1977), 3:186–187.",https://whitmanarchive.org/biography/correspondence/tei/tex.00357.html
05/30/1881,05/30/1881,Walt Whitman,Edward Carpenter,"Camden, NJ","T. E. Hanley Collection, Harry Ransom Humanities Research Center, The University of Texas at Austin.","Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1961–1977), 3:227.",https://whitmanarchive.org/biography/correspondence/tei/tex.00421.html
07/01/1881,07/01/1881,Edward Carpenter,Walt Whitman,Bradway,"The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C.",,https://whitmanarchive.org/biography/correspondence/tei/loc.01236.html
11/07/1881,11/07/1881,Walt Whitman,John Addington Symonds,"Camden, NJ",(unknown),"Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1961–1977), 6:25.",https://whitmanarchive.org/biography/correspondence/tei/prc.00108.html
11/10/1881,11/10/1881,Walt Whitman,Edward Carpenter,"Camden, NJ",Wesleyan University.,"Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1961–1977), 3:253.",https://whitmanarchive.org/biography/correspondence/tei/wes.00001.html
01/18/1882,01/18/1882,Walt Whitman,Oscar Wilde,New York,"Yale Collection of American Literature, Beinecke Rare Book and Manuscript Library.",,https://whitmanarchive.org/biography/correspondence/tei/yal.00277.html
01/18/1882,01/18/1882,Walt Whitman,Oscar Wilde,New York,"Yale Collection of American Literature, Beinecke Rare Book and Manuscript Library.",,https://whitmanarchive.org/biography/correspondence/tei/yal.00277.html
03/01/1882,03/01/1882,Oscar Wilde,Walt Whitman,"Camden, NJ","The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C.",,https://whitmanarchive.org/biography/correspondence/tei/loc.04865.html
03/16/1882,03/16/1882,Edward Carpenter,Walt Whitman,Bradway,"The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839-1919, Library of Congress, Washington, D.C.",,https://whitmanarchive.org/biography/correspondence/tei/loc.01237.html
07/24/1882,07/24/1882,Walt Whitman,Edward Carpenter,"Camden, NJ",,"Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1961–1977), 3:299.",https://whitmanarchive.org/biography/correspondence/tei/med.00694.html
03/02/1884,03/02/1884,Edward Carpenter,Walt Whitman,Millthorpe,"The Oscar Lion Papers, 1914–1955, New York Public Library, New York, N.Y.","Horace Traubel, With Walt Whitman in Camden (Philadelphia: University of Pennsylvania Press, 1953), 4:76–77.",https://whitmanarchive.org/biography/correspondence/tei/nyp.00557.html
11/28/1884,11/28/1884,John Addington Symonds,Walt Whitman,"Davos, Switzerland","The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C,",,https://whitmanarchive.org/biography/correspondence/tei/loc.04179.html
07/09/1885,07/09/1885,Edward Carpenter,Walt Whitman,Millthorpe,"The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C.",,https://whitmanarchive.org/biography/correspondence/tei/loc.01238.html
08/03/1885,08/03/1885,Walt Whitman,Edward Carpenter,"Camden, NJ"," The Walt Whitman Collection, Harry Ransom Humanities Research Center, The University of Texas at Austin.","Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1961–1977), 3:399–400.",https://whitmanarchive.org/biography/correspondence/tei/tex.00446.html
08/05/1885,08/05/1885,Walt Whitman,Edward Carpenter,"Camden, NJ","The Trent Collection of Whitmaniana, Duke University Rare Book, Manuscript, and Special Collections Library.","Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1961–1977), 3:400.",https://whitmanarchive.org/biography/correspondence/tei/duk.00804.html
10/23/1885,10/23/1885,Edward Carpenter,Walt Whitman,Millthorpe,"The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C.",,https://whitmanarchive.org/biography/correspondence/tei/loc.01239.html
12/28/1885,12/28/1885,Olive Schreiner,Amy Levy,"Paddington, London","Harry Ransom Center, University of Texas, Austin",,https://www.oliveschreiner.org/vre?view=collections&colid=21&letterid=2
05/17/1886,05/17/1886,Edward Carpenter,Walt Whitman,Millthorpe,"The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C.",,https://whitmanarchive.org/biography/correspondence/tei/loc.01240.html
05/29/1886,05/29/1886,Walt Whitman,Edward Carpenter,"Camden, NJ","The Walt Whitman Collection, Harry Ransom Humanities Research Center, The University of Texas at Austin.","Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1961–1977), 4:29–30.",https://whitmanarchive.org/biography/correspondence/tei/tex.00449.html
06/20/1886,06/20/1886,Walt Whitman,John Addington Symonds,"Camden, NJ","The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C,",,https://whitmanarchive.org/biography/correspondence/tei/loc.04965.html
08/05/1886,08/05/1886,Olive Schreiner,Edward Carpenter,"The Convent, Harrow, London","Oscar Wilde and his Literary Circle Collection, William Andrews Clark Memorial Library, UCLA",,https://www.oliveschreiner.org/vre?view=collections&colid=39&letterid=1
04/20/1887,04/20/1887,Edward Carpenter,Walt Whitman,"Sheffield, UK","The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C.",,https://whitmanarchive.org/biography/correspondence/tei/loc.01241.html
